,game_name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
906,Dead Space,X360,2008,Action,Electronic Arts,0.89,0.39,0.0,0.13,1.4,89.0,8.7
907,Dead Space,PC,2008,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,86.0,8.0
909,Dead to Rights II,PS2,2005,Shooter,Electronic Arts,0.1,0.08,0.0,0.03,0.2,51.0,5.3
910,Dead to Rights II,XB,2005,Shooter,Electronic Arts,0.08,0.02,0.0,0.0,0.11,54.0,7.4
911,Dead to Rights: Reckoning,PSP,2005,Shooter,Electronic Arts,0.12,0.0,0.0,0.01,0.13,54.0,7.2
912,Deadliest Catch: Alaskan Storm,X360,2008,Sports,Navarre Corp,0.04,0.0,0.0,0.0,0.05,56.0,5.9
913,Deal or No Deal,DS,2007,Misc,Mindscape,1.15,0.4,0.0,0.15,1.7,20.0,1.9
916,Death By Degrees,PS2,2005,Action,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.1,51.0,6.2
917,Death Jr.,PSP,2005,Platform,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.19,61.0,7.3
918,Death Jr. and the Science Fair of Doom,DS,2007,Platform,Konami Digital Entertainment,0.08,0.0,0.0,0.01,0.08,47.0,7.5
919,Death Jr. II: Root of Evil,PSP,2006,Platform,Konami Digital Entertainment,0.05,0.0,0.0,0.0,0.05,68.0,7.3
920,Death Jr.: Root of Evil,Wii,2008,Platform,Eidos Interactive,0.1,0.0,0.0,0.01,0.11,71.0,8.1
923,Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,1.11,0.85,0.29,0.25,2.5,50.0,5.4
924,Deep Labyrinth,DS,2006,Action,505 Games,0.06,0.0,0.0,0.0,0.07,57.0,8.8
925,Def Jam Fight For NY: The Takeover,PSP,2006,Action,Electronic Arts,0.08,0.0,0.0,0.01,0.09,79.0,8.2
926,Def Jam Icon,PS3,2007,Action,Electronic Arts,0.16,0.19,0.0,0.08,0.42,68.0,4.4
927,Def Jam Icon,X360,2007,Action,Electronic Arts,0.3,0.01,0.0,0.03,0.34,69.0,6.3
928,Def Jam: Fight for NY,PS2,2004,Fighting,Electronic Arts,0.86,0.67,0.0,0.22,1.76,83.0,8.9
932,Delta Force: Black Hawk Down,PS2,2005,Shooter,NovaLogic,0.22,0.17,0.0,0.06,0.46,58.0,8.8
